epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.045,1.87812,3.12683,2.39426,0.23636,0.36449,0.24195,0.1325,2.18386,4.35764,2.53333,0.00058,0.00058,0.00058
2,432.004,1.49815,2.01487,1.9428,0.05085,0.02804,0.02679,0.00967,3.63295,6.02464,3.96657,0.00116832,0.00116832,0.00116832
3,452.696,1.57052,2.06567,1.94302,0,0,0,0,1.15899,1.68848,1.99593,0.00174476,0.00174476,0.00174476
4,473.542,1.69339,2.0045,2.01003,0.04009,0.15888,0.02857,0.0068,3.96442,4.63944,4.74899,0.0019406,0.0019406,0.0019406
5,494.216,1.65752,2.48802,2.07464,0.12281,0.06542,0.02831,0.00478,4.03883,3.75302,4.85458,0.0019208,0.0019208,0.0019208
6,515.308,1.6491,1.86958,2.01296,0,0,0,0,4.84779,7.0356,7.51226,0.001901,0.001901,0.001901
7,538.16,1.69611,1.94139,2.08993,0.16535,0.13084,0.06139,0.01744,3.75464,2.94952,3.81865,0.0018812,0.0018812,0.0018812
8,561.313,1.5692,1.72379,1.96087,0.17483,0.14953,0.07863,0.01732,3.0423,3.97972,3.28771,0.0018614,0.0018614,0.0018614
9,583.482,1.54858,1.65435,1.9039,0.08929,0.26168,0.06113,0.01925,2.50047,3.64746,2.72931,0.0018416,0.0018416,0.0018416
10,604.686,1.56294,1.72065,1.92494,0.26578,0.25234,0.16778,0.05974,3.02052,3.59932,3.31839,0.0018218,0.0018218,0.0018218
11,627.503,1.52819,1.55947,1.86467,0.66709,0.2243,0.32475,0.16542,2.43032,3.11042,2.56465,0.001802,0.001802,0.001802
12,650.83,1.51316,1.57643,1.86731,0.55424,0.38348,0.45069,0.23965,2.03393,2.38443,2.20003,0.0017822,0.0017822,0.0017822
13,672.586,1.56194,1.63592,1.89735,0.69324,0.38318,0.50151,0.24932,1.91219,1.93614,2.00925,0.0017624,0.0017624,0.0017624
14,696.153,1.4913,1.5987,1.83886,0.72426,0.6729,0.69621,0.32285,1.86135,1.43352,2.08558,0.0017426,0.0017426,0.0017426
15,719.594,1.52807,1.51282,1.86401,0.67695,0.47004,0.54978,0.25924,1.88024,2.15824,2.01197,0.0017228,0.0017228,0.0017228
16,742.69,1.42861,1.42976,1.78674,0.55839,0.54206,0.54696,0.28224,1.64974,2.22628,1.86865,0.001703,0.001703,0.001703
17,763.993,1.44621,1.38456,1.78631,0.62591,0.56296,0.6553,0.31287,1.90734,1.42653,2.15004,0.0016832,0.0016832,0.0016832
18,787.233,1.43461,1.4052,1.76269,0.69953,0.71028,0.70634,0.36292,1.61837,1.27867,1.83916,0.0016634,0.0016634,0.0016634
19,809.848,1.45444,1.38879,1.76202,0.57895,0.62969,0.57226,0.26623,1.69542,1.42409,1.89455,0.0016436,0.0016436,0.0016436
20,832.657,1.38639,1.37648,1.73848,0.65343,0.72897,0.70106,0.38677,1.49103,1.21106,1.71828,0.0016238,0.0016238,0.0016238
21,855.653,1.4513,1.41295,1.7875,0.66815,0.75701,0.67792,0.3316,1.7126,1.26173,1.89298,0.001604,0.001604,0.001604
22,879.057,1.40178,1.36945,1.75324,0.52443,0.59813,0.56771,0.286,1.79621,1.59937,1.97408,0.0015842,0.0015842,0.0015842
23,902.449,1.3594,1.32406,1.69915,0.71957,0.57944,0.69356,0.40688,1.46537,1.42453,1.72059,0.0015644,0.0015644,0.0015644
24,925.461,1.37659,1.3338,1.7295,0.6201,0.62617,0.64163,0.3607,1.5975,1.43828,1.87709,0.0015446,0.0015446,0.0015446
25,948.659,1.35784,1.31563,1.72934,0.78663,0.6729,0.77347,0.42395,1.53977,1.07179,1.82083,0.0015248,0.0015248,0.0015248
26,972.309,1.32915,1.31877,1.71118,0.78341,0.70988,0.77615,0.41546,1.56387,1.05564,1.84189,0.001505,0.001505,0.001505
27,993.427,1.36649,1.29017,1.72702,0.73429,0.82648,0.77301,0.43718,1.48799,0.9665,1.73567,0.0014852,0.0014852,0.0014852
28,1015.12,1.35674,1.2785,1.70232,0.74665,0.51402,0.62267,0.32646,1.78692,1.69075,1.99929,0.0014654,0.0014654,0.0014654
29,1038.24,1.34134,1.23499,1.6861,0.75912,0.46729,0.56853,0.32257,1.73311,1.62251,1.93188,0.0014456,0.0014456,0.0014456
30,1061.34,1.40311,1.29107,1.74672,0.78811,0.66049,0.78836,0.37296,1.90656,1.35033,2.02118,0.0014258,0.0014258,0.0014258
31,1083.92,1.3561,1.27184,1.75052,0.77521,0.70908,0.78439,0.33765,2.06964,1.28617,2.20363,0.001406,0.001406,0.001406
32,1106.14,1.34685,1.23833,1.67448,0.72646,0.71963,0.76226,0.40249,1.60203,1.07907,1.78971,0.0013862,0.0013862,0.0013862
33,1129.52,1.31656,1.28661,1.68427,0.74811,0.74945,0.78622,0.43117,1.46293,0.97346,1.74656,0.0013664,0.0013664,0.0013664
34,1153.16,1.35986,1.26896,1.70768,0.72245,0.79439,0.78426,0.38574,1.63561,1.0411,1.88927,0.0013466,0.0013466,0.0013466
35,1175.86,1.31633,1.30452,1.69949,0.81396,0.70093,0.80363,0.43042,1.58544,1.0467,1.80375,0.0013268,0.0013268,0.0013268
36,1198.94,1.31159,1.24494,1.70268,0.75122,0.76197,0.81791,0.47899,1.40578,0.95699,1.67533,0.001307,0.001307,0.001307
37,1222.58,1.29008,1.19282,1.65757,0.87671,0.71963,0.82402,0.42145,1.65444,1.07787,1.84618,0.0012872,0.0012872,0.0012872
38,1246.27,1.30402,1.2029,1.68085,0.75664,0.56075,0.65524,0.24536,2.22932,1.90642,2.33949,0.0012674,0.0012674,0.0012674
39,1270.09,1.27376,1.20243,1.63256,0.88892,0.7479,0.81383,0.42673,1.6892,1.15983,1.79748,0.0012476,0.0012476,0.0012476
40,1293.79,1.23489,1.17606,1.62333,0.81371,0.7757,0.81643,0.46507,1.51175,1.01136,1.71776,0.0012278,0.0012278,0.0012278
41,1317.35,1.26118,1.15474,1.62414,0.82922,0.82243,0.86464,0.4992,1.47542,0.92681,1.72514,0.001208,0.001208,0.001208
